indicator,order,level,english,top,group,ai_post_relative_change,std_error,lower,upper,outcome,eng_var,top_var,model_fe_type,n,r2
age,first,20,1,0,"English, less-established",0.06501854838984153,0.0027352442029134425,0.05965756826320921,0.07037952851647385,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007
age,first,20,1,1,"English, more-established",0.05355218572597174,0.002034817498626528,0.049564016713551866,0.05754035473839162,ai_use_intro_discussion,english_first,first_senior_20,journal + subfield,2052933,0.1919269043486007
age,last,10,0,0,"Non-English, less-established",0.09760354302584669,0.0029626850672919763,0.09179678699641979,0.10341029905527359,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285
age,last,10,0,1,"Non-English, more-established",0.07409567255325729,0.001518870160138296,0.07111874174219364,0.07707260336432094,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285
age,last,10,1,0,"English, less-established",0.08788661455239642,0.005421873560882521,0.07725993764433675,0.09851329146045609,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285
age,last,10,1,1,"English, more-established",0.057002250615783456,0.0019179233424260526,0.05324318993951971,0.060761311292047204,ai_use_intro_discussion,english_last,last_senior_10,journal + subfield,2019216,0.19327195979074285
age,last,15,0,0,"Non-English, less-established",0.09354712065633496,0.0025314678721344744,0.08858553479893114,0.09850870651373878,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568
age,last,15,0,1,"Non-English, more-established",0.07254652772437553,0.0014838017546973232,0.06963832972497144,0.07545472572377962,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568
age,last,15,1,0,"English, less-established",0.08290541141648258,0.0045180695409477835,0.07405015783657751,0.09176066499638766,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568
age,last,15,1,1,"English, more-established",0.054689401088819034,0.0017698686624185742,0.05122052225311255,0.05815827992452552,ai_use_intro_discussion,english_last,last_senior_15,journal + subfield,2019216,0.19398232411685568
age,last,20,0,0,"Non-English, less-established",0.08954113860217201,0.0022066251626671448,0.08521623275596457,0.09386604444837945,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496
age,last,20,0,1,"Non-English, more-established",0.07014867452332506,0.0014157870157089037,0.06737378296275616,0.07292356608389396,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496
age,last,20,1,0,"English, less-established",0.07655694044351904,0.003848862370745514,0.06901330881540639,0.0841005720716317,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496
age,last,20,1,1,"English, more-established",0.052655305872637274,0.0016725269372317895,0.049377213312489884,0.055933398432784665,ai_use_intro_discussion,english_last,last_senior_20,journal + subfield,2019216,0.19411000589566496
cit,first,1,0,0,"Non-English, less-established",0.07666367145577395,0.0016575030380646923,0.07341502519690143,0.07991231771464646,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098
cit,first,1,0,1,"Non-English, more-established",0.06835951199126897,0.0025079798437478472,0.06344396182357079,0.07327506215896715,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098
cit,first,1,1,0,"English, less-established",0.062228003848086265,0.0025399025415564734,0.05724988634239383,0.0672061213537787,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098
cit,first,1,1,1,"English, more-established",0.03510423165989315,0.002446054004688371,0.03031005390646397,0.039898409413322324,ai_use_intro_discussion,english_first,first_cumulative_cits_top1,journal + subfield,2052933,0.19180493025420098
cit,first,5,0,0,"Non-English, less-established",0.07705690888021825,0.0016552203491969942,0.07381273660931434,0.08030108115112217,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086
cit,first,5,0,1,"Non-English, more-established",0.07065782359169534,0.0019020175488452403,0.06692993769799552,0.07438570948539516,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086
cit,first,5,1,0,"English, less-established",0.06311571116996513,0.002561432711744175,0.05809539530612378,0.06813602703380647,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086
cit,first,5,1,1,"English, more-established",0.046714249710933124,0.0022721465529653047,0.0422609242995243,0.05116757512234195,ai_use_intro_discussion,english_first,first_cumulative_cits_top5,journal + subfield,2052933,0.19185203740782086
cit,first,10,0,0,"Non-English, less-established",0.07763520822729447,0.0016557628926423674,0.07438997259077758,0.08088044386381137,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,2052933,0.19189157382812305
cit,first,10,0,1,"Non-English, more-established",0.07097061053538581,0.0017980371178513022,0.06744652254153105,0.07449469852924057,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,2052933,0.19189157382812305
cit,first,10,1,0,"English, less-established",0.0640912276383228,0.0026262936863769965,0.05894378660019895,0.06923866867644664,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,2052933,0.19189157382812305
cit,first,10,1,1,"English, more-established",0.049642395054887836,0.0021271260828481316,0.045473304541929736,0.053811485567845936,ai_use_intro_discussion,english_first,first_cumulative_cits_top10,journal + subfield,2052933,0.19189157382812305
cit,first,20,0,0,"Non-English, less-established",0.07866671984821187,0.0017034295350141164,0.0753280593093824,0.08200538038704135,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,2052933,0.19189659264848535
cit,first,20,0,1,"Non-English, more-established",0.07218871765080864,0.0016441507078768624,0.06896624147821395,0.07541119382340333,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,2052933,0.19189659264848535
cit,first,20,1,0,"English, less-established",0.0653409495386104,0.002794993779222793,0.05986286239432023,0.07081903668290057,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,2052933,0.19189659264848535
cit,first,20,1,1,"English, more-established",0.05382972773848196,0.0020415282971812613,0.0498284058025873,0.05783104967437661,ai_use_intro_discussion,english_first,first_cumulative_cits_top20,journal + subfield,2052933,0.19189659264848535
cit,last,1,0,0,"Non-English, less-established",0.07790581571787605,0.001665162810280768,0.07464215658133025,0.08116947485442186,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,2019216,0.19188931476487714
cit,last,1,0,1,"Non-English, more-established",0.05782724819725543,0.0015204476076128154,0.05484722564595423,0.06080727074855664,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,2019216,0.19188931476487714
cit,last,1,1,0,"English, less-established",0.06362908220557537,0.0026044836856155664,0.05852438798344672,0.06873377642770402,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,2019216,0.19188931476487714
cit,last,1,1,1,"English, more-established",0.038311601973674905,0.0014278169086335555,0.03551313225623582,0.04111007169111399,ai_use_intro_discussion,english_last,last_cumulative_cits_top1,journal + subfield,2019216,0.19188931476487714
cit,last,5,0,0,"Non-English, less-established",0.08236178854983017,0.0018071297140236705,0.07881987939495161,0.08590369770470874,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,2019216,0.19361728695330538
cit,last,5,0,1,"Non-English, more-established",0.06079568034926472,0.00137326060857437,0.058104139015071395,0.06348722168345804,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,2019216,0.19361728695330538
cit,last,5,1,0,"English, less-established",0.07008921329128927,0.0029098735306605328,0.06438596597162821,0.07579246061095032,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,2019216,0.19361728695330538
cit,last,5,1,1,"English, more-established",0.04403986393096454,0.001468204336170151,0.041162236310125506,0.046917491551803574,ai_use_intro_discussion,english_last,last_cumulative_cits_top5,journal + subfield,2019216,0.19361728695330538
